core,block,branch,A_mode,d_inner,d_state,stored_A_parameter_count,lambda_min,lambda_max,lambda_mean,mean_statewise_channel_cv,max_statewise_channel_cv,row_shared_relative_fro_error_lambda,row_shared_relative_fro_error_A_log,best_rank1_energy_ratio_lambda,dataset,seed
block1_spe,1,spe,shared,16,16,16,1.026509281156489,15.533249638660106,8.351101144253658,1.9599931607326607e-16,3.439729558045617e-16,2.196459723953181e-16,0.0,1.0,HanChuan,7
block2_spa,2,spa,shared,64,16,16,0.859420890432567,15.34554106327436,8.41270615601034,6.8918168529172e-16,1.1152467959216375e-15,8.443332581275293e-16,0.0,1.0,HanChuan,7
block2_spe,2,spe,shared,16,16,16,1.0008550478134817,16.12647392997589,8.558906326887854,2.030007026800731e-16,4.437098167414377e-16,2.655216213765224e-16,0.0,1.0,HanChuan,7
block0_spa,0,spa,shared,64,16,16,0.9227897400848561,13.182457728487474,6.786714074721171,7.528132296387515e-16,1.6439868205727027e-15,8.95751157025272e-16,0.0,1.0,HanChuan,8
block0_spe,0,spe,shared,16,16,16,0.9636234391114507,18.007014481953302,8.492695977497513,1.8769989389832374e-16,3.9710006862605775e-16,1.9184193366519452e-16,0.0,1.0,HanChuan,8
block1_spa,1,spa,shared,64,16,16,0.8932278439939966,14.939590626190853,7.77362610545204,6.617737219162003e-16,1.1890264491492095e-15,8.345000522817127e-16,0.0,1.0,HanChuan,8
block1_spe,1,spe,shared,16,16,16,1.0048413266913485,17.049292112510646,8.36198677789724,1.8679902158875995e-16,4.887628864178373e-16,2.0498649763620284e-16,0.0,1.0,HanChuan,8
block2_spa,2,spa,shared,64,16,16,0.845329386653855,15.706877186385976,7.971674458350382,8.943345859086083e-16,1.7073698782977522e-15,9.912107198917005e-16,0.0,1.0,HanChuan,8
block2_spe,2,spe,shared,16,16,16,1.1872359557414978,19.26467624091808,8.992922378758994,1.9032874069365208e-16,4.401572141054854e-16,2.950170226673152e-16,0.0,1.0,HanChuan,8
block0_spa,0,spa,shared,64,16,16,0.8973947666688691,12.896977836236399,6.485918850245941,8.306736961982239e-16,1.5651056205849525e-15,9.327692286669025e-16,0.0,1.0,HanChuan,9
block0_spe,0,spe,shared,16,16,16,1.0729997608910917,16.75004357621496,8.244789051512907,1.5850110646537718e-16,3.340071662046798e-16,1.9938556870997895e-16,0.0,1.0,HanChuan,9
block1_spa,1,spa,shared,64,16,16,0.9218771148849768,14.029662518788747,7.751231527171546,8.696385427043074e-16,1.6284120825981562e-15,9.561706734580288e-16,0.0,1.0,HanChuan,9
block1_spe,1,spe,shared,16,16,16,0.9821491730773974,15.177188714158808,8.228883723886078,1.7715175379363846e-16,3.4271975949434496e-16,2.1113808621375491e-16,0.0,1.0,HanChuan,9
block2_spa,2,spa,shared,64,16,16,0.8844030060191769,17.21100675204971,8.02570677466732,6.647723723165995e-16,1.2835528702187444e-15,8.179472822586184e-16,0.0,1.0,HanChuan,9
block2_spe,2,spe,shared,16,16,16,1.0674323549907612,18.162044580314394,8.844719619760866,1.6984864958182369e-16,4.033635752121409e-16,2.387435185388057e-16,0.0,1.0,HanChuan,9
block0_spa,0,spa,per_channel,64,16,1024,0.6285171608983584,20.908163381807515,8.251389234654571,0.10839133788509123,0.12877455415179234,0.09762067332629497,0.054981510370644505,0.9924166289746559,HanChuan,0
block0_spe,0,spe,per_channel,16,16,256,0.8766564151939583,17.309573127099814,8.372113286909475,0.06191232523436026,0.09133500090965406,0.06642226751642381,0.030956306587100465,0.9969413646271887,HanChuan,0
block1_spa,1,spa,per_channel,64,16,1024,0.744257793779447,20.98821913098232,8.660071948203838,0.11244749622524014,0.14486690174095132,0.10316749052769819,0.0543062712327735,0.994161858711862,HanChuan,0
block1_spe,1,spe,per_channel,16,16,256,0.8760598130036064,16.687295385805765,8.399445635428876,0.056768960925168206,0.098140035126028,0.060451628223666946,0.029148519674084297,0.9974865984768484,HanChuan,0
block2_spa,2,spa,per_channel,64,16,1024,0.7286650153643665,20.6716520232929,8.402863570457566,0.10356443107566805,0.1243020135046477,0.10321203905699272,0.05119625988662124,0.9902532824615289,HanChuan,0
block2_spe,2,spe,per_channel,16,16,256,0.9322928592088813,18.32247157721266,8.537661905164375,0.049983402591787573,0.08531712602929488,0.0556713297562576,0.024735153660151162,0.9973097968268952,HanChuan,0
block0_spa,0,spa,per_channel,64,16,1024,0.8074310731402242,18.35466010886764,8.430262610227453,0.07575816021416128,0.09553935006383077,0.07277056756114408,0.03723358056582868,0.9956744810708889,HanChuan,1
block0_spe,0,spe,per_channel,16,16,256,0.9785834960972558,16.481726669588937,8.46048695594218,0.03685838019441798,0.05749351436623629,0.040883566226614036,0.018634877418108212,0.9985831577640527,HanChuan,1
block1_spa,1,spa,per_channel,64,16,1024,0.7034663301453987,20.076497769108858,8.58924123943031,0.0706614272339212,0.1021706281094137,0.07149217330604572,0.03493598928768656,0.9971619420965657,HanChuan,1
block1_spe,1,spe,per_channel,16,16,256,0.8925078897741048,17.129974937237566,8.45574954340594,0.05272340098638247,0.07711287527013908,0.05561325537239398,0.02641869702817129,0.9973806437537015,HanChuan,1
block2_spa,2,spa,per_channel,64,16,1024,0.8460476228235266,20.427405635775855,8.524794023071678,0.06625559977537958,0.08424938640832035,0.0691399569203303,0.03241932676061961,0.9970227664640117,HanChuan,1
block2_spe,2,spe,per_channel,16,16,256,0.9439796428376516,16.79195601946836,8.507315915193546,0.03676963370748472,0.05553262516963149,0.03688332378929466,0.018334981701495928,0.9987908298929729,HanChuan,1
block0_spa,0,spa,per_channel,64,16,1024,0.6875835774439514,19.61772541675195,8.30265901185923,0.09484026631013193,0.12055120569001743,0.08567753345941276,0.04901196578862173,0.9947771774447113,HanChuan,2
block0_spe,0,spe,per_channel,16,16,256,0.8704928125821922,17.018082202789085,8.463031117897707,0.05368030193425265,0.08890149549958805,0.05521137613125691,0.027354449119450525,0.9971717774846719,HanChuan,2
block1_spa,1,spa,per_channel,64,16,1024,0.754600822512531,21.79549258008114,8.43962583247469,0.09542124575033657,0.12702868551543828,0.09242209190883284,0.04664928716629385,0.9948102983281768,HanChuan,2
block1_spe,1,spe,per_channel,16,16,256,0.9216179059241201,17.605255071785695,8.469600655426353,0.04504799560387795,0.06625279804966623,0.04810356740569798,0.022210267089489998,0.9983176322530434,HanChuan,2
