experiment,source,sha256,bytes,dataset,seed,eval_batch_size,model_config_slug,test_OA,qat_test_OA
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head128_tok4_state16/run_seed3/result.json,808692c2aa4dd87a9f4de6f09d3959f6f6c61ad941d439081c85b2cf66444914,10103,UP,3,,,0.930341704405105,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head128_tok4_state16/run_seed4/result.json,33913b112159ad954ba8cdf8705707c51b4c488025ce5ce79342ef534f09a030,9232,UP,4,,,0.9573487031700288,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head128_tok4_state16/run_seed5/result.json,91ad4fa49bf15bcf97182cd39d07cf47d773805e1f2387dbf523918c212dc202,9593,UP,5,,,0.9459036640592836,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head128_tok4_state16/run_seed6/result.json,0364f77284db348f915829039610921b6637f04aee779478ee62027293b93a38,9909,UP,6,,,0.9501852614244545,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head128_tok4_state16/run_seed7/result.json,dfdae5bfb1abbc7c4cb838a0179fcc9c935b13e3e9c6b843e83891f702cfd139,9940,UP,7,,,0.9653355290242899,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head128_tok4_state16/run_seed8/result.json,e6f7069a9f59079629abf3401493f3682bd757880464223fc3377f696b4f6e42,9927,UP,8,,,0.8955125566076575,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head128_tok4_state16/run_seed9/result.json,c0b77f08226fda739ce423d6d0f7fa148eb783cf6736cd54ffbaacd6fb95bf39,9596,UP,9,,,0.9472210786331824,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head32_tok4_state16/run_seed0/result.json,35b9d33eb58c0665ae9bebfb76d243244d5d0673421df3e0729dc5ea43630fb9,9749,UP,0,,,0.9618773157678057,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head32_tok4_state16/run_seed1/result.json,b724e96af85df08857e8465aa5188b85a3baaf5d2e0d42fca1d3cd1ef1c262c0,9404,UP,1,,,0.9556195965417867,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head32_tok4_state16/run_seed2/result.json,67bfbd68f30883ede69840674ee387170962927723d3150603bbb2a9c9f43220,9754,UP,2,,,0.9579250720461095,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head32_tok4_state16/run_seed3/result.json,73b38f471d2b25d49c8876364db6edb8bbafb6f24a2c8ed4b6473e1022d371e5,10307,UP,3,,,0.9587484561547962,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head32_tok4_state16/run_seed4/result.json,10bae6d2187cfff885f32564037b77ea0850cae35fbbca13bc539e3680935c52,9792,UP,4,,,0.9472210786331824,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head32_tok4_state16/run_seed5/result.json,3a52eaa3777d8fb83f61dec4b7da55fddceaf8f6c37cb8c132cb1fbf172a0e3b,9795,UP,5,,,0.9483738163853438,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head32_tok4_state16/run_seed6/result.json,2475726ca3d11e4715ecea8e9e190edd654fad3ad76f62dc724ef0afb0bf74ee,9173,UP,6,,,0.9549608892548374,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head32_tok4_state16/run_seed7/result.json,c2741c5193208ef849b21f77ef4cbb10bd5da442338aef63c4b73435739bbb86,9352,UP,7,,,0.9552079044874434,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head32_tok4_state16/run_seed8/result.json,7692397f78c872a684f0be6e823ba6e96cdf4e6b3108006e8916c3b61d40084a,9740,UP,8,,,0.9566899958830795,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head32_tok4_state16/run_seed9/result.json,e0d50096f0c79bf22a7dd25788bd9b3cc01cf3486e7b4e3dbea6dadbae52a7ce,9576,UP,9,,,0.9552902428983121,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok2_state16/run_seed0/result.json,b8232bb1828f0615da0a3de4bf709dcb98516dda4e5826b61b6cd8244aac3057,9751,UP,0,,,0.931082750102923,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok2_state16/run_seed1/result.json,a8d3e047245fa54b5228ef23a346515a5145c4efdb16819bbbff4916bfe3b5c8,9807,UP,1,,,0.9381638534376286,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok2_state16/run_seed2/result.json,42d5883f2e5b92f2578ede6fb9345e27e27ed2f4b8032ae84e9492b56bde2d6d,9529,UP,2,,,0.9427748044462742,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok2_state16/run_seed3/result.json,ac9f63aa4766142bc00eda1c3c74069a5a7b23c3bacca01b3d007118fdb6c7ad,9375,UP,3,,,0.9602305475504322,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok2_state16/run_seed4/result.json,19cef2aff00052d1472187c1e1df5c44e0bdee2e8878b8ff74d3463de07362eb,9763,UP,4,,,0.9551255660765747,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok2_state16/run_seed5/result.json,77982f722b349c2381f34ec97f25538dc38ff10b8f37a90999b3169be9eae8d9,9727,UP,5,,,0.9467270481679704,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok2_state16/run_seed6/result.json,2d054423cb5eebf25dbf7d746585acea255e55dd4108af6c258b5a186d89750b,9746,UP,6,,,0.9612186084808563,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok2_state16/run_seed7/result.json,1c07f9a953e97075d9f180b4e0f9fd593cef6e9cd2e1715f0dce3cf8ff6d5860,9771,UP,7,,,0.9427748044462742,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok2_state16/run_seed8/result.json,418b3b4c56e3e0a56023d61e76cee333de309d5d8c5c99c04b0bd9136253ebf9,10142,UP,8,,,0.9528200905722519,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok2_state16/run_seed9/result.json,fde7b3799fd5611e9c2244dd475bcfc51dea7587c2b8a99331915f8cb6e2df5a,9577,UP,9,,,0.9404693289419515,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed0/result.json,10de629fd545f46a72bdb140b529185d02f6b35529cdb35b87e2883ba8294f5f,9577,UP,0,,,0.9659118979003706,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed1/result.json,f08e411740fadc8fea5875c3907144311e190469e59cff028711387deb08e517,9974,UP,1,,,0.9367641004528613,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed2/result.json,1a76cf7a485b2f2e412cf17cca13100988aaaa768c72eb484d83cba652e7bf52,9977,UP,2,,,0.9481268011527377,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed3/result.json,12034e56d83e7144414cc3ba3dc354d62276c387d97841800bcb87771eb98ed1,9575,UP,3,,,0.923342939481268,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed4/result.json,fa310ab172f3e65fdbde6dd7de13b6df495cff429023b67c78ec4a3b8da7d291,9748,UP,4,,,0.9398106216550021,
